BUGULA STAGE,BUGULA RUN,BUGULA LOG10MASS,BUGULA LOG10MR,WATERSIPORA STAGE,WATERSIPORA RUN,WATERSIPORA LOG10MASS,WATERSIPORA LOG10MR
EARLY,8,1.122659115,-0.782325869,LATE,3,1.148980384,-0.188535843
EARLY,8,1.366830176,-0.757925528,LATE,3,1.298047236,-0.161308218
EARLY,8,1.295824366,-0.481622749,LATE,3,1.351865819,-0.169798571
EARLY,8,1.205298974,-1.509810619,LATE,3,1.150988326,-0.207283295
EARLY,8,1.223773885,-0.957317124,LATE,3,1.346231213,-0.209061952
EARLY,8,1.223012711,-0.654727334,LATE,3,1.172378166,-0.151846585
EARLY,8,1.27479386,-0.679937838,LATE,4,1.220091701,0.059614306
EARLY,8,1.228982276,-0.851225867,LATE,4,1.322887333,0.194146078
EARLY,8,1.168715822,-0.593598312,LATE,4,1.149922742,0.046121242
EARLY,8,1.330070436,-0.540454184,LATE,4,1.191426602,-0.204321236
EARLY,9,1.078271951,-0.69214792,LATE,4,1.236033829,-0.021261012
EARLY,9,1.034685255,-0.678318125,LATE,4,1.154542679,-0.025520993
EARLY,9,1.110793977,-0.688279176,LATE,4,1.12579074,0.114379721
EARLY,9,1.104329696,-0.710866424,LATE,4,0.98993665,-0.157380393
EARLY,9,0.890698076,-0.797244628,LATE,4,1.193483789,0.060081744
EARLY,9,1.126693449,-0.795662471,LATE,4,1.205951755,-0.046831846
EARLY,9,1.093057453,-0.920503556,LATE,4,1.116823604,-0.307544813
EARLY,9,0.944397823,-0.883158421,LATE,4,1.26739611,0.056126922
EARLY,9,0.971279621,-0.923613061,LATE,4,1.113612105,-0.093913752
EARLY,9,1.027839139,-0.768146099,LATE,4,0.964799509,-0.061117926
EARLY,9,1.049327487,-0.905325901,LATE,4,1.241761626,0.086194481
EARLY,9,1.029732831,-0.716187487,LATE,4,1.326074335,0.084288194
EARLY,9,1.051552629,-0.836337307,,,,
EARLY,9,1.132288471,-0.622625326,,,,
EARLY,9,1.21315132,-0.716304231,,,,
EARLY,9,0.961157134,-1.109104155,,,,
EARLY,9,0.939210748,-0.888551062,,,,
EARLY,9,1.155653444,-0.763776158,,,,
EARLY,9,1.061932038,-0.87277442,,,,
EARLY,9,1.173519832,-0.891148714,,,,
EARLY,10,1.106427228,-0.505987281,,,,
EARLY,10,0.951495519,-1.128654843,,,,
EARLY,10,1.168872381,-0.643524666,,,,
EARLY,10,1.268038423,-0.729625267,,,,
EARLY,10,1.236184011,-0.764022384,,,,
EARLY,10,1.215202719,-0.849375035,,,,
EARLY,10,1.289819902,-0.603300486,,,,
EARLY,10,1.127487765,-0.574376582,,,,
EARLY,10,1.156756293,-0.741282888,,,,
EARLY,10,1.07299642,-0.576054479,,,,
EARLY,10,0.8367036,-1.214663252,,,,
EARLY,10,1.086552826,-0.575911696,,,,
EARLY,10,1.280172515,-0.677402269,,,,
EARLY,10,0.882854729,-0.92742105,,,,
EARLY,10,1.260913336,-0.538571123,,,,
EARLY,10,1.038294097,-1.340524476,,,,
EARLY,10,1.077440959,-0.717501564,,,,
EARLY,10,1.137368678,-0.689302026,,,,
EARLY,10,1.214814575,-0.881656979,,,,
EARLY,10,1.162316685,-0.818594736,,,,
EARLY,11,1.025975967,-0.823516351,,,,
EARLY,11,1.252070809,-0.755737433,,,,
EARLY,11,1.051162853,-0.687017598,,,,
EARLY,11,1.139959233,-0.810819353,,,,
EARLY,11,1.165943183,-0.903739552,,,,
EARLY,11,1.164223386,-0.713740105,,,,
EARLY,11,1.146301883,-0.95882896,,,,
EARLY,11,0.92938305,-0.862789632,,,,
EARLY,11,1.068763555,-1.140614862,,,,
EARLY,11,1.123240997,-0.940360915,,,,
EARLY,11,1.131592907,-0.797982818,,,,
EARLY,12,1.100942193,-0.72561237,,,,
EARLY,12,1.222589977,-0.689476042,,,,
EARLY,12,1.182277777,-0.63246555,,,,
EARLY,12,1.183350771,-1.121225003,,,,
EARLY,12,1.029237424,-0.917943711,,,,
EARLY,12,1.121379997,-0.956358456,,,,
EARLY,12,1.215510358,-0.867010966,,,,
EARLY,12,1.011167061,-0.802761175,,,,
EARLY,12,1.172893702,-0.81888409,,,,
EARLY,12,1.084658456,-0.849956517,,,,
EARLY,12,1.045595422,-0.647258536,,,,
LATE,1,-0.777927516,-0.239296021,,,,
LATE,1,-0.840237313,-0.676503641,,,,
LATE,1,-0.768293664,-0.52675007,,,,
LATE,1,-0.78537307,-0.240615529,,,,
LATE,1,-0.871701461,-0.534337599,,,,
LATE,1,-0.729226794,-0.314694501,,,,
LATE,1,-0.655536907,-0.292677951,,,,
LATE,1,-0.767412606,-0.524515732,,,,
LATE,1,-0.861995453,-0.625148361,,,,
LATE,1,-0.533182156,-0.218091185,,,,
LATE,1,-0.870957805,-0.450803537,,,,
LATE,1,-0.880260765,-0.30801559,,,,
LATE,1,-0.684704699,-0.235150257,,,,
LATE,1,-0.686626687,-0.33936674,,,,
LATE,1,-0.735364373,-0.554124391,,,,
LATE,1,-0.580245697,-0.267025264,,,,
LATE,1,-1.094443825,-0.619320608,,,,
LATE,2,-0.71001703,-0.170053122,,,,
LATE,2,-0.772463421,-0.481666152,,,,
